match_id,date,league,home_team,away_team,city,venue,broadcaster,time_slot,viewership_tv_millions,viewership_digital_millions,social_buzz_volume,sentiment_score,brand_recall_score,ad_integration_score,on_screen_time_seconds,sponsor_category,ad_format,sponsor_spend_crores_inr,sponsor_value_est_crores_inr,roi_estimated
IPL2018-00011,29-03-2018,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Chandigarh,Eden Gardens,Star Sports,Afternoon,3.26,3.93,484189,0.626,95,0.901,3755,Consumer Goods,Presenter title,2.72,39.43,13.5
IPL2018-00012,23-04-2018,IPL,Sunrisers Hyderabad,Royal Challengers Bengaluru,Jaipur,Narendra Modi Stadium,Viacom18 / JioCinema,Late,5.33,6.74,686846,0.469,95,0.693,3542,Auto,Presenter title,1.85,65.38,34.34
IPL2018-00013,30-05-2018,IPL,Punjab Kings,Royal Challengers Bengaluru,Lucknow,BRSABV Ekana Stadium,Star Sports,Afternoon,2.57,1.7,296243,0.438,95,0.925,771,Gaming,LED perimeter,6.88,25.53,2.71
IPL2018-00014,11-04-2018,IPL,Chennai Super Kings,Delhi Capitals,Chennai,Rajiv Gandhi Intl. Stadium,Star Sports,Late,4.8,5.21,513611,0.388,95,0.76,3566,Auto,On-ground signage,2.52,55.6,21.06
IPL2018-00015,05-04-2018,IPL,Gujarat Titans,Kolkata Knight Riders,Chandigarh,Wankhede Stadium,DD Sports,Late,5.3,5.29,580693,0.455,95,0.824,2205,Beverages,Presenter title,4.09,59.34,13.51
IPL2018-00016,19-04-2018,IPL,Kolkata Knight Riders,Royal Challengers Bengaluru,Lucknow,Eden Gardens,Viacom18 / JioCinema,Afternoon,2.52,2.97,405187,0.451,95,0.428,743,Beverages,On-ground signage,5.84,25.21,3.32
IPL2018-00017,04-04-2018,IPL,Lucknow Super Giants,Delhi Capitals,Kolkata,Narendra Modi Stadium,Viacom18 / JioCinema,Prime,8.22,7.89,828587,0.523,95,0.994,794,EdTech,On-ground signage,7.73,106.25,12.75
IPL2018-00018,10-04-2018,IPL,Lucknow Super Giants,Gujarat Titans,Mumbai,Sawai Mansingh Stadium,DD Sports,Afternoon,2.06,3.11,338298,0.387,95,0.853,1608,Gaming,Presenter title,3.58,30.03,7.39
IPL2018-00019,16-04-2018,IPL,Sunrisers Hyderabad,Delhi Capitals,Chennai,Narendra Modi Stadium,DD Sports,Prime,8.81,9.31,1003680,0.353,95,0.749,3634,Telecom,Presenter title,1.85,121,64.41
IPL2018-00020,29-03-2018,IPL,Mumbai Indians,Delhi Capitals,Chandigarh,M. A. Chidambaram Stadium,Star Sports,Prime,6.66,8.6,900415,0.398,95,0.719,738,Gaming,On-ground signage,4.08,91.87,21.52
IPL2018-00021,08-05-2018,IPL,Punjab Kings,Mumbai Indians,Lucknow,Rajiv Gandhi Intl. Stadium,Star Sports,Afternoon,2.6,2.5,212495,0.44,95,0.76,3909,Auto,Jersey sleeve,3.13,25.16,7.04
IPL2018-00022,27-03-2018,IPL,Punjab Kings,Delhi Capitals,Chennai,Sawai Mansingh Stadium,Star Sports,Afternoon,2.2,2.65,226727,0.448,95,0.428,2238,E-commerce,Jersey front,1.95,23.04,10.82
IPL2018-00023,26-03-2018,IPL,Mumbai Indians,Royal Challengers Bengaluru,Lucknow,Sawai Mansingh Stadium,Star Sports,Prime,7.6,9.49,806467,0.45,95,0.619,2207,EdTech,Presenter title,5.35,108.58,19.3
IPL2018-00024,21-04-2018,IPL,Delhi Capitals,Rajasthan Royals,Ahmedabad,Sawai Mansingh Stadium,DD Sports,Prime,7.88,8.52,1171260,0.332,95,0.454,3752,Gaming,On-ground signage,5.1,97.3,18.08
IPL2018-00025,05-05-2018,IPL,Mumbai Indians,Gujarat Titans,Lucknow,M. A. Chidambaram Stadium,Star Sports,Prime,7.7,8.06,1236669,0.441,95,0.505,3159,Gaming,On-ground signage,6.58,95.44,13.5
IPL2018-00026,20-04-2018,IPL,Sunrisers Hyderabad,Mumbai Indians,Delhi,Wankhede Stadium,Star Sports,Late,5.03,5.53,482599,0.533,95,0.6,3617,Beverages,Presenter title,3.7,57.14,14.44
IPL2018-00027,14-04-2018,IPL,Royal Challengers Bengaluru,Sunrisers Hyderabad,Chennai,Arun Jaitley Stadium,DD Sports,Prime,8.25,10.47,823151,0.604,95,0.804,4145,Beverages,Jersey sleeve,1.45,126.22,86.05
IPL2018-00028,10-04-2018,IPL,Chennai Super Kings,Gujarat Titans,Kolkata,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,7.35,8.17,955961,0.569,95,0.958,831,BFSI,LED perimeter,8.47,96.7,10.42
IPL2018-00029,07-04-2018,IPL,Mumbai Indians,Kolkata Knight Riders,Jaipur,BRSABV Ekana Stadium,Star Sports,Afternoon,3.38,2.93,352545,0.444,95,0.992,2540,Telecom,Jersey sleeve,1.64,34.84,20.24
IPL2018-00030,15-05-2018,IPL,Lucknow Super Giants,Rajasthan Royals,Chennai,Rajiv Gandhi Intl. Stadium,DD Sports,Prime,8.24,9.86,1202542,0.432,95,0.851,3057,Fintech,Presenter title,2.13,120.95,55.78
IPL2018-00031,24-04-2018,IPL,Kolkata Knight Riders,Punjab Kings,Jaipur,Arun Jaitley Stadium,Star Sports,Prime,7.3,8.37,1098943,0.6,95,0.561,1675,Fintech,Presenter title,2.55,95.07,36.28
IPL2018-00032,08-04-2018,IPL,Royal Challengers Bengaluru,Rajasthan Royals,Jaipur,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,2.87,3.75,477329,0.438,95,0.593,2195,E-commerce,Jersey front,4.48,30.42,5.79
IPL2018-00033,03-04-2018,IPL,Gujarat Titans,Kolkata Knight Riders,Lucknow,Narendra Modi Stadium,Star Sports,Prime,6.95,8.4,751013,0.555,95,0.584,951,Auto,Digital overlay,2.86,89.9,30.43
IPL2018-00034,01-05-2018,IPL,Rajasthan Royals,Chennai Super Kings,Delhi,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,2.77,3.65,283996,0.447,95,0.903,3494,Fintech,Digital overlay,4.54,36.58,7.06
IPL2018-00035,14-05-2018,IPL,Sunrisers Hyderabad,Lucknow Super Giants,Ahmedabad,Wankhede Stadium,DD Sports,Prime,7.45,8.92,1235386,0.163,95,0.865,4018,E-commerce,LED perimeter,1.89,104.71,54.4
IPL2018-00036,11-05-2018,IPL,Gujarat Titans,Royal Challengers Bengaluru,Ahmedabad,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,7.77,8.02,935249,0.531,95,0.438,1686,Beverages,On-ground signage,2.95,92.44,30.34
IPL2018-00037,01-04-2018,IPL,Gujarat Titans,Chennai Super Kings,Lucknow,Narendra Modi Stadium,DD Sports,Prime,6.52,7.21,1061230,0.567,95,0.697,3860,Beverages,Broadcast L-band,5.22,82.14,14.74
IPL2018-00038,10-04-2018,IPL,Royal Challengers Bengaluru,Delhi Capitals,Ahmedabad,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,8.42,8.02,1015050,0.412,95,0.785,1197,Fintech,LED perimeter,5.81,105.65,17.18
IPL2018-00039,07-04-2018,IPL,Delhi Capitals,Royal Challengers Bengaluru,Mumbai,M. A. Chidambaram Stadium,Star Sports,Late,5.07,7.42,763555,0.312,95,0.409,690,Auto,On-ground signage,4.95,64.77,12.08
IPL2018-00040,12-04-2018,IPL,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow,Eden Gardens,Viacom18 / JioCinema,Prime,8.13,9.96,1196920,0.634,95,0.756,3626,EdTech,Presenter title,4.18,117.44,27.1
IPL2018-00041,07-05-2018,IPL,Gujarat Titans,Delhi Capitals,Mumbai,M. A. Chidambaram Stadium,DD Sports,Afternoon,3.32,2.22,257619,0.433,95,0.965,3423,Telecom,LED perimeter,2.39,32.23,12.49
IPL2018-00042,26-05-2018,IPL,Punjab Kings,Gujarat Titans,Delhi,Narendra Modi Stadium,Viacom18 / JioCinema,Prime,6.22,8.3,759868,0.41,95,0.428,4033,Auto,Digital overlay,2.22,81.51,35.72
IPL2018-00043,25-04-2018,IPL,Punjab Kings,Mumbai Indians,Jaipur,M. A. Chidambaram Stadium,DD Sports,Prime,6.71,9.54,1219296,0.505,95,0.503,1238,E-commerce,Jersey front,4.88,95.73,18.62
IPL2018-00044,04-04-2018,IPL,Delhi Capitals,Kolkata Knight Riders,Ahmedabad,Sawai Mansingh Stadium,Viacom18 / JioCinema,Prime,6.11,7.37,650838,0.779,95,0.462,3287,Telecom,Jersey front,3.46,74.39,20.5
IPL2018-00045,15-04-2018,IPL,Rajasthan Royals,Gujarat Titans,Delhi,Arun Jaitley Stadium,DD Sports,Prime,7.08,8.19,779367,0.509,95,0.622,1906,Fintech,On-ground signage,2.13,92.5,42.43
IPL2018-00046,03-06-2018,IPL,Mumbai Indians,Kolkata Knight Riders,Lucknow,Narendra Modi Stadium,Star Sports,Afternoon,3.01,3.49,367842,0.472,95,0.622,3580,Auto,Jersey front,5.18,32.77,5.33
IPL2018-00047,18-04-2018,IPL,Punjab Kings,Mumbai Indians,Hyderabad,IS Bindra Stadium,DD Sports,Afternoon,2.35,3.33,407359,0.459,95,0.973,3828,Beverages,Digital overlay,2.48,33.82,12.64
IPL2018-00048,10-04-2018,IPL,Gujarat Titans,Royal Challengers Bengaluru,Jaipur,M. A. Chidambaram Stadium,Star Sports,Afternoon,3.57,2.46,244498,0.649,95,0.88,3450,EdTech,Jersey sleeve,6.69,30.46,3.55
IPL2018-00049,11-04-2018,IPL,Gujarat Titans,Sunrisers Hyderabad,Chennai,Sawai Mansingh Stadium,Viacom18 / JioCinema,Prime,7.96,9.1,1001497,0.514,95,0.782,2641,E-commerce,Digital overlay,2.6,109.21,41
IPL2018-00050,25-04-2018,IPL,Chennai Super Kings,Rajasthan Royals,Lucknow,BRSABV Ekana Stadium,DD Sports,Prime,7.81,7.73,870957,0.555,95,0.785,3008,Auto,Jersey sleeve,2.39,97.91,39.97
IPL2018-00051,01-04-2018,IPL,Delhi Capitals,Punjab Kings,Chandigarh,M. A. Chidambaram Stadium,Star Sports,Afternoon,2.33,3.4,428487,0.487,95,0.8,3079,Beverages,Digital overlay,2.47,30.28,11.26
IPL2018-00052,06-04-2018,IPL,Sunrisers Hyderabad,Chennai Super Kings,Kolkata,Eden Gardens,DD Sports,Prime,8.14,7.93,1164386,0.515,95,0.503,2454,Telecom,LED perimeter,2.85,95.87,32.64
IPL2018-00053,11-05-2018,IPL,Delhi Capitals,Chennai Super Kings,Chandigarh,Wankhede Stadium,Star Sports,Prime,6.65,7.61,1057269,0.418,95,0.613,921,BFSI,Jersey sleeve,4.51,84.65,17.77
IPL2018-00054,24-04-2018,IPL,Delhi Capitals,Lucknow Super Giants,Hyderabad,Narendra Modi Stadium,Viacom18 / JioCinema,Afternoon,2.42,2.56,322464,0.471,95,0.788,2303,Gaming,Jersey sleeve,3.1,28.31,8.13
IPL2018-00055,18-04-2018,IPL,Kolkata Knight Riders,Chennai Super Kings,Lucknow,IS Bindra Stadium,Star Sports,Prime,6.85,8.37,1063009,0.369,95,0.42,4038,Consumer Goods,Jersey front,7.47,86.85,10.63
IPL2018-00056,12-05-2018,IPL,Royal Challengers Bengaluru,Rajasthan Royals,Mumbai,Arun Jaitley Stadium,Viacom18 / JioCinema,Late,5.62,6.31,866480,0.39,95,0.694,1767,Consumer Goods,Jersey front,3.18,67.29,20.16
IPL2018-00057,03-04-2018,IPL,Chennai Super Kings,Gujarat Titans,Jaipur,Narendra Modi Stadium,DD Sports,Late,4.41,4.64,442201,0.51,95,0.902,2504,BFSI,Jersey front,1.98,49.81,24.16
IPL2018-00058,09-04-2018,IPL,Gujarat Titans,Punjab Kings,Kolkata,Sawai Mansingh Stadium,Star Sports,Prime,6.85,8.42,838214,0.366,95,0.727,1749,Beverages,Jersey sleeve,3.7,90.47,23.45
IPL2018-00059,23-04-2018,IPL,Rajasthan Royals,Chennai Super Kings,Mumbai,Sawai Mansingh Stadium,DD Sports,Prime,7.76,8.83,1122359,0.467,95,0.919,2577,Auto,Broadcast L-band,9.15,107.27,10.72
IPL2018-00060,22-04-2018,IPL,Punjab Kings,Delhi Capitals,Jaipur,Eden Gardens,Viacom18 / JioCinema,Prime,7.87,8.19,1185716,0.407,95,0.848,3194,Gaming,Jersey front,3.3,101.79,29.85
IPL2018-00061,25-03-2018,IPL,Gujarat Titans,Delhi Capitals,Mumbai,BRSABV Ekana Stadium,Star Sports,Late,3.89,4.86,569363,0.316,95,0.723,2844,Gaming,LED perimeter,1.4,45.04,31.17
IPL2018-00062,08-04-2018,IPL,Chennai Super Kings,Royal Challengers Bengaluru,Hyderabad,Eden Gardens,Star Sports,Prime,10.31,12.66,1139656,0.478,95,0.626,3874,BFSI,Digital overlay,2.16,166.91,76.27
IPL2018-00063,13-04-2018,IPL,Delhi Capitals,Kolkata Knight Riders,Jaipur,Eden Gardens,Viacom18 / JioCinema,Afternoon,3.39,2.54,467576,0.544,95,0.793,3888,EdTech,Jersey front,3.91,32.79,7.39
IPL2018-00064,26-04-2018,IPL,Gujarat Titans,Kolkata Knight Riders,Mumbai,IS Bindra Stadium,DD Sports,Afternoon,3.17,3.11,475975,0.293,95,0.698,2763,Auto,Presenter title,1.29,33.45,24.93
IPL2018-00065,22-04-2018,IPL,Punjab Kings,Royal Challengers Bengaluru,Lucknow,IS Bindra Stadium,Viacom18 / JioCinema,Prime,6.91,10.07,1148886,0.524,95,0.997,1311,E-commerce,Presenter title,7.46,110.47,13.81
IPL2018-00066,14-04-2018,IPL,Mumbai Indians,Rajasthan Royals,Kolkata,IS Bindra Stadium,Star Sports,Late,4.99,6.15,796122,0.317,95,0.766,3604,Consumer Goods,Broadcast L-band,2.71,61.52,21.7
IPL2018-00067,20-03-2018,IPL,Lucknow Super Giants,Rajasthan Royals,Chennai,Narendra Modi Stadium,Viacom18 / JioCinema,Prime,7.2,10.2,1161650,0.614,95,0.551,1342,Fintech,Digital overlay,0.78,107.44,136.74
IPL2018-00068,15-04-2018,IPL,Lucknow Super Giants,Sunrisers Hyderabad,Jaipur,BRSABV Ekana Stadium,Star Sports,Afternoon,3.24,4.25,332660,0.519,95,0.978,1178,Auto,Broadcast L-band,11.36,41.17,2.62
IPL2018-00069,17-04-2018,IPL,Lucknow Super Giants,Punjab Kings,Kolkata,Sawai Mansingh Stadium,Viacom18 / JioCinema,Late,5.22,5.61,535775,0.293,95,0.572,3763,Telecom,Jersey sleeve,6.93,58.04,7.38
IPL2018-00070,15-07-2018,IPL,Royal Challengers Bengaluru,Delhi Capitals,Chandigarh,M. A. Chidambaram Stadium,DD Sports,Afternoon,3.17,2.65,461959,0.553,95,0.934,4112,Auto,LED perimeter,2.47,33.85,12.7
IPL2018-00071,12-04-2018,IPL,Delhi Capitals,Sunrisers Hyderabad,Mumbai,Narendra Modi Stadium,Viacom18 / JioCinema,Prime,7.41,8.89,827412,0.377,95,0.695,2653,BFSI,Presenter title,2.12,102.24,47.23
IPL2018-00072,23-04-2018,IPL,Mumbai Indians,Chennai Super Kings,Jaipur,Eden Gardens,Star Sports,Afternoon,3.79,2.35,400800,0.335,95,0.823,1883,Consumer Goods,Jersey front,3.17,33.66,9.62
IPL2018-00073,18-05-2018,IPL,Kolkata Knight Riders,Gujarat Titans,Kolkata,IS Bindra Stadium,DD Sports,Afternoon,1.61,2.57,239967,0.537,95,0.521,971,Telecom,Presenter title,7.55,19.15,1.54
IPL2018-00074,06-05-2018,IPL,Royal Challengers Bengaluru,Chennai Super Kings,Kolkata,Eden Gardens,Viacom18 / JioCinema,Late,6.61,8.72,1148560,0.596,95,0.736,3292,Gaming,Jersey front,3.34,94.02,27.15
IPL2018-00075,28-05-2018,IPL,Chennai Super Kings,Sunrisers Hyderabad,Jaipur,Rajiv Gandhi Intl. Stadium,Star Sports,Afternoon,2.6,3.04,352712,0.508,95,0.521,1087,Beverages,LED perimeter,1.63,28.38,16.41
IPL2018-00076,25-03-2018,IPL,Kolkata Knight Riders,Punjab Kings,Chandigarh,Eden Gardens,DD Sports,Prime,7.19,7.62,950478,0.406,95,0.543,3381,Fintech,Presenter title,6.34,85.65,12.51
IPL2018-00077,30-03-2018,IPL,Kolkata Knight Riders,Rajasthan Royals,Jaipur,Rajiv Gandhi Intl. Stadium,DD Sports,Afternoon,2.94,2.29,257154,0.471,95,0.497,3840,Telecom,On-ground signage,4.26,26.68,5.26
IPL2018-00078,05-04-2018,IPL,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,Wankhede Stadium,DD Sports,Prime,8.09,9.99,801351,0.381,95,0.67,1479,EdTech,Broadcast L-band,1.66,115.17,68.38
IPL2018-00079,23-03-2018,IPL,Mumbai Indians,Chennai Super Kings,Kolkata,Wankhede Stadium,Viacom18 / JioCinema,Prime,8.98,10.56,1358939,0.43,95,0.709,1698,Telecom,Jersey sleeve,2.35,129.98,54.31
IPL2018-00080,18-04-2018,IPL,Chennai Super Kings,Mumbai Indians,Mumbai,M. A. Chidambaram Stadium,DD Sports,Late,6.62,7.72,643473,0.5,95,0.558,3446,Beverages,Jersey front,3.05,83.47,26.37
IPL2018-00081,31-03-2018,IPL,Kolkata Knight Riders,Chennai Super Kings,Ahmedabad,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Prime,6.43,6.75,911955,0.28,95,0.768,3554,Gaming,Jersey front,3.07,77.99,24.4
IPL2018-00082,03-06-2018,IPL,Sunrisers Hyderabad,Rajasthan Royals,Chennai,Wankhede Stadium,DD Sports,Prime,8.56,8.01,1012956,0.504,95,0.563,663,Auto,Presenter title,5.27,102.41,18.43
IPL2018-00083,02-04-2018,IPL,Gujarat Titans,Rajasthan Royals,Ahmedabad,Sawai Mansingh Stadium,DD Sports,Prime,6.93,8.95,1167983,0.281,95,0.713,1813,Gaming,On-ground signage,5.75,97.04,15.88
IPL2018-00084,09-04-2018,IPL,Delhi Capitals,Rajasthan Royals,Jaipur,Eden Gardens,Star Sports,Prime,7.93,7.79,776868,0.298,95,0.811,2427,EdTech,Jersey front,4.01,100.15,23.98
IPL2018-00085,07-05-2018,IPL,Delhi Capitals,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,DD Sports,Prime,8.63,9.55,1141663,0.529,95,0.436,3659,Telecom,Jersey front,5.71,114,18.96
IPL2018-00086,27-03-2018,IPL,Kolkata Knight Riders,Punjab Kings,Chennai,Arun Jaitley Stadium,Star Sports,Afternoon,3.89,1.87,353220,0.35,95,0.916,981,EdTech,LED perimeter,4.2,34.77,7.28
IPL2018-00087,23-03-2018,IPL,Rajasthan Royals,Punjab Kings,Kolkata,M. A. Chidambaram Stadium,DD Sports,Prime,8.4,8.83,758351,0.332,95,0.615,1635,Beverages,LED perimeter,2,109.5,53.75
IPL2018-00088,20-04-2018,IPL,Sunrisers Hyderabad,Chennai Super Kings,Chennai,Sawai Mansingh Stadium,DD Sports,Prime,7.47,8.14,1075727,0.415,95,0.71,3242,EdTech,LED perimeter,3.4,94.6,26.82
IPL2018-00089,22-04-2018,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow,Wankhede Stadium,Star Sports,Afternoon,3.09,3,379040,0.38,95,0.667,3898,Telecom,Jersey sleeve,2.56,30.51,10.92
IPL2018-00090,06-05-2018,IPL,Sunrisers Hyderabad,Rajasthan Royals,Delhi,Wankhede Stadium,Viacom18 / JioCinema,Afternoon,3.63,2.3,250754,0.479,95,0.97,1752,BFSI,Jersey front,5.92,33.25,4.62
IPL2018-00091,29-04-2018,IPL,Punjab Kings,Royal Challengers Bengaluru,Chandigarh,M. A. Chidambaram Stadium,DD Sports,Prime,8.08,8.81,958590,0.472,95,0.514,1117,Telecom,Broadcast L-band,2.35,104.09,43.29
IPL2018-00092,23-04-2018,IPL,Rajasthan Royals,Royal Challengers Bengaluru,Jaipur,BRSABV Ekana Stadium,Viacom18 / JioCinema,Prime,8.38,10.12,851666,0.333,95,0.776,3609,E-commerce,On-ground signage,3.94,123.77,30.41
IPL2018-00093,03-04-2018,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Mumbai,Narendra Modi Stadium,Star Sports,Late,4.59,7.08,884215,0.246,95,0.897,2449,E-commerce,Broadcast L-band,2.42,65.57,26.1
IPL2018-00094,21-04-2018,IPL,Punjab Kings,Royal Challengers Bengaluru,Jaipur,Eden Gardens,Viacom18 / JioCinema,Afternoon,2.58,3.76,358520,0.427,95,0.657,1643,Auto,Digital overlay,1.48,31.52,20.3
IPL2018-00095,23-04-2018,IPL,Delhi Capitals,Royal Challengers Bengaluru,Ahmedabad,Narendra Modi Stadium,DD Sports,Prime,8.3,8.23,782940,0.583,95,0.601,3792,Beverages,Presenter title,3.47,104.31,29.06
IPL2018-00096,03-04-2018,IPL,Rajasthan Royals,Gujarat Titans,Ahmedabad,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,2.69,3.34,314947,0.443,95,0.467,2497,E-commerce,Jersey front,3.85,29.04,6.54
IPL2018-00097,16-06-2018,IPL,Rajasthan Royals,Gujarat Titans,Delhi,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Prime,8.71,8.22,1127607,0.409,95,0.832,4195,BFSI,On-ground signage,5.55,111.52,19.09
IPL2018-00098,28-04-2018,IPL,Lucknow Super Giants,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,Star Sports,Prime,8.19,8.46,1174087,0.659,95,0.872,3169,Consumer Goods,Jersey front,4.74,109.36,22.07
IPL2018-00099,30-03-2018,IPL,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,Star Sports,Late,5.65,6.61,532832,0.541,95,0.588,3518,Beverages,Digital overlay,1.8,69.06,37.37
IPL2018-00100,07-05-2018,IPL,Royal Challengers Bengaluru,Chennai Super Kings,Mumbai,BRSABV Ekana Stadium,Star Sports,Afternoon,4.03,3.56,328010,0.244,95,0.866,4054,BFSI,Broadcast L-band,3.28,42.89,12.08
IPL2018-00101,12-05-2018,IPL,Kolkata Knight Riders,Royal Challengers Bengaluru,Chandigarh,IS Bindra Stadium,Viacom18 / JioCinema,Afternoon,2.14,2.42,343067,0.417,95,0.46,1119,Beverages,On-ground signage,1.95,19.53,9.02
IPL2018-00102,26-04-2018,IPL,Sunrisers Hyderabad,Delhi Capitals,Lucknow,Narendra Modi Stadium,Viacom18 / JioCinema,Afternoon,3.44,3.04,363578,0.478,95,0.658,3065,E-commerce,Broadcast L-band,2.21,33.3,14.07
IPL2018-00103,11-04-2018,IPL,Lucknow Super Giants,Punjab Kings,Ahmedabad,Wankhede Stadium,DD Sports,Prime,7.55,9.29,838622,0.323,95,0.566,4186,Consumer Goods,Jersey sleeve,3.85,104.62,26.17
IPL2018-00104,02-04-2018,IPL,Kolkata Knight Riders,Punjab Kings,Jaipur,Wankhede Stadium,DD Sports,Afternoon,2.79,2.71,239523,0.416,95,0.565,2696,Fintech,Broadcast L-band,4.29,28.55,5.66
IPL2018-00105,14-04-2018,IPL,Royal Challengers Bengaluru,Punjab Kings,Kolkata,M. A. Chidambaram Stadium,DD Sports,Prime,6.54,9.28,956392,0.453,95,0.958,2538,BFSI,Broadcast L-band,1.51,99.64,64.99
IPL2018-00106,24-04-2018,IPL,Royal Challengers Bengaluru,Punjab Kings,Kolkata,Eden Gardens,Star Sports,Afternoon,2.01,2.76,336304,0.424,95,0.866,3627,Auto,Broadcast L-band,3.9,28.99,6.43
IPL2018-00107,16-04-2018,IPL,Royal Challengers Bengaluru,Chennai Super Kings,Hyderabad,IS Bindra Stadium,Viacom18 / JioCinema,Late,6.03,9.01,919550,0.306,95,0.86,1737,Beverages,Jersey sleeve,3.86,90.97,22.57
IPL2018-00108,30-05-2018,IPL,Lucknow Super Giants,Delhi Capitals,Hyderabad,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Prime,8.05,7.87,661410,0.627,95,0.696,1349,Auto,Digital overlay,1.89,97.68,50.68
IPL2018-00109,02-05-2018,IPL,Sunrisers Hyderabad,Rajasthan Royals,Lucknow,Narendra Modi Stadium,Star Sports,Afternoon,3.09,2.34,330866,0.483,95,0.773,1790,E-commerce,Jersey sleeve,3.1,27.94,8.01
IPL2018-00110,01-04-2018,IPL,Delhi Capitals,Chennai Super Kings,Kolkata,Arun Jaitley Stadium,DD Sports,Prime,7.3,7.64,787972,0.348,95,0.872,1618,E-commerce,On-ground signage,1.95,91.57,45.96
IPL2018-00111,29-03-2018,IPL,Royal Challengers Bengaluru,Sunrisers Hyderabad,Mumbai,Narendra Modi Stadium,Star Sports,Afternoon,2.94,2.71,387963,0.556,95,0.56,3602,Gaming,Jersey front,1.33,28.39,20.35
IPL2018-00112,28-04-2018,IPL,Rajasthan Royals,Punjab Kings,Lucknow,Eden Gardens,DD Sports,Late,4.96,7.03,724273,0.441,95,0.575,1178,EdTech,Jersey front,5.57,63.51,10.4
IPL2018-00113,11-04-2018,IPL,Gujarat Titans,Punjab Kings,Ahmedabad,M. A. Chidambaram Stadium,DD Sports,Prime,6.97,8.9,1260424,0.57,95,0.93,2461,Beverages,Jersey front,5.22,100.27,18.21
