id,date,team1,team2,venue,winner,day_of_week,team1_rank,team2_rank,weather_temp,weather_rain,ticket_price_avg,historical_avg_attendance,ticket_price_min,ticket_price_max,tickets_sold,dynamic_pricing_flag,holiday_flag,ad_spend,social_media_mentions,search_trends_index,promotion_flag,past_30d_avg_sales,expected_attendance,actual_attendance,venue_capacity,traffic_index,special_event_flag,time_of_day
11,13-04-2017,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Thursday,7,6,,,263,52410,184,394,54733,1,0,176324,10795,60,0,44640,51336,50102,58197,8,1,Night
12,14-04-2017,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Friday,6,6,26.0,0.0,668,21972,467,1002,21422,1,0,66023,8561,79,0,20415,20936,21919,33194,2,0,Night
13,14-04-2017,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Friday,7,7,34.0,0.0,799,32030,559,1198,33135,1,0,91090,9258,33,0,25668,30142,29934,46903,9,1,Night
14,15-04-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,Saturday,6,4,,,748,38242,523,1122,33892,1,1,117221,17616,94,1,30666,38112,37530,43864,7,0,Night
15,15-04-2017,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,Saturday,5,7,23.0,0.0,312,41743,218,468,40479,1,1,114820,7371,31,1,35680,39810,38019,50584,7,0,Night
16,16-04-2017,Gujarat Lions,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Sunday,7,6,,,843,34426,590,1264,31123,1,1,50769,15369,31,0,27856,32962,31487,43102,1,0,Day
17,16-04-2017,Rising Pune Supergiant,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rising Pune Supergiant,Sunday,7,6,24.0,1.0,375,40498,262,562,41639,1,1,109735,13910,32,0,33492,41767,42568,48070,2,0,Day
18,17-04-2017,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,Monday,5,6,21.0,2.0,851,50094,595,1276,54084,1,0,114925,8943,44,1,44318,54788,54557,62009,4,0,Night
19,17-04-2017,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Monday,4,7,33.0,0.0,233,29952,163,349,29711,0,0,55311,13199,64,1,29971,30572,29735,39985,4,0,Day
20,18-04-2017,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Tuesday,6,7,27.0,0.0,248,35282,173,372,32452,1,0,153355,16728,38,0,33271,32296,32664,48070,3,0,Day
21,19-04-2017,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Wednesday,4,5,20.0,0.0,441,46017,308,661,41904,1,0,135305,7738,74,0,42711,42110,41069,62469,7,1,Night
22,20-04-2017,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,Thursday,7,6,34.0,2.0,796,53908,557,1194,47585,0,0,180608,16913,64,1,47081,58775,59231,64122,8,0,Night
23,21-04-2017,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Gujarat Lions,Friday,6,7,,,383,31823,268,574,31187,0,0,134478,3472,27,1,32871,30532,30102,41535,2,1,Night
24,22-04-2017,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,Saturday,6,5,,,314,51964,219,471,53114,1,1,172537,16679,72,1,46728,47724,49268,70283,4,0,Night
25,22-04-2017,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Saturday,4,7,28.0,0.0,869,32483,608,1303,30664,0,1,199503,2761,74,1,26693,33126,34188,37549,3,0,Night
26,23-04-2017,Kings XI Punjab,Gujarat Lions,Saurashtra Cricket Association Stadium,Kings XI Punjab,Sunday,7,7,20.0,0.0,290,46576,203,435,39989,1,1,180523,11167,51,1,44445,47727,47618,64054,2,0,Night
27,23-04-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,Sunday,6,6,,,317,25807,221,475,21943,0,1,52747,11554,70,0,21380,26573,26176,38340,6,0,Day
28,24-04-2017,Rising Pune Supergiant,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiant,Monday,7,6,,,771,45440,539,1156,45865,1,0,173855,18260,63,1,40273,43326,42730,55056,4,1,Night
29,26-04-2017,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Wednesday,7,6,28.0,0.0,857,32117,599,1285,32203,0,0,115725,15277,89,0,29767,29002,29888,50394,6,1,Day
30,27-04-2017,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,Thursday,6,7,27.0,1.0,260,44114,182,390,47778,1,0,179981,4812,37,1,44932,48216,47387,50254,2,1,Night
31,28-04-2017,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Friday,5,6,,,708,29915,495,1062,30426,1,0,134654,18844,41,0,27623,28424,27597,45421,4,0,Night
32,28-04-2017,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Friday,4,7,24.0,0.0,873,47058,611,1309,41451,0,0,169346,19117,56,1,45908,48714,46690,57788,6,0,Day
33,29-04-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Saturday,7,6,26.0,1.0,551,43388,385,826,42519,1,1,117435,2605,75,1,45479,45181,45030,59112,5,0,Night
34,29-04-2017,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,Mumbai Indians,Saturday,7,6,27.0,1.0,675,48651,472,1012,44890,1,1,106886,6622,78,0,40520,49721,49632,65423,3,1,Night
35,30-04-2017,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunday,5,7,22.0,1.0,673,24810,471,1009,24199,0,1,116803,7767,22,0,21552,23881,24695,37275,8,0,Day
36,30-04-2017,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunday,4,6,27.0,0.0,384,27493,268,576,28761,1,1,81551,12613,47,1,24706,26234,25502,41872,7,1,Night
37,01-05-2017,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Monday,6,6,,,273,33038,191,409,35143,0,0,166216,11589,93,1,29914,33683,33282,42509,3,1,Day
38,01-05-2017,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Monday,7,7,29.0,2.0,863,27739,604,1294,25810,0,0,61394,14918,54,1,25041,29770,30688,45679,6,0,Night
39,02-05-2017,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Tuesday,4,5,26.0,1.0,746,45338,522,1119,43832,1,0,119092,14046,80,1,46557,49388,50986,53677,4,0,Night
40,03-05-2017,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Rising Pune Supergiant,Wednesday,6,7,,,917,37909,641,1375,36661,1,0,53890,3590,73,1,37094,34921,34518,43457,5,1,Day
41,04-05-2017,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Thursday,7,5,24.0,2.0,613,27340,429,919,27362,0,0,91606,18447,82,0,26027,25452,25347,45725,5,1,Night
42,05-05-2017,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,Friday,7,6,32.0,1.0,522,25683,365,783,25015,0,0,137313,5324,98,0,22532,27967,27416,38358,7,1,Day
43,06-05-2017,Rising Pune Supergiant,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Saturday,7,4,34.0,1.0,260,43413,182,390,47606,1,1,191699,11787,26,1,43671,45466,47432,60692,5,0,Day
44,06-05-2017,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,Saturday,6,5,34.0,0.0,655,22881,458,982,23432,0,1,58792,10111,95,0,23767,24633,23693,36145,3,0,Day
45,07-05-2017,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,Sunday,6,6,32.0,1.0,420,43544,294,630,45781,0,1,118148,6342,68,0,43774,40954,42730,63187,5,0,Night
46,07-05-2017,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Sunday,7,7,22.0,0.0,441,32833,308,661,31699,1,1,174243,17389,50,0,26279,33408,34022,38031,7,0,Night
47,08-05-2017,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Monday,6,4,27.0,2.0,782,40589,547,1173,35201,1,0,170174,9659,77,1,38928,42221,42354,56982,5,0,Day
48,09-05-2017,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Tuesday,7,6,20.0,0.0,223,28883,156,334,26784,0,0,174358,15043,80,0,23475,29923,28524,43856,5,0,Night
49,10-05-2017,Gujarat Lions,Delhi Daredevils,Green Park,Delhi Daredevils,Wednesday,7,5,29.0,2.0,368,26896,257,552,28333,1,0,98555,9837,43,1,23248,26401,26336,32467,9,1,Night
50,11-05-2017,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,Thursday,7,6,,,751,44236,525,1126,38233,0,0,67159,1117,39,0,36047,39948,39579,50026,3,1,Night
51,12-05-2017,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,Delhi Daredevils,Friday,5,7,28.0,2.0,479,54233,335,718,55027,0,0,160510,14917,56,1,51572,55132,53264,69063,6,1,Day
52,13-05-2017,Gujarat Lions,Sunrisers Hyderabad,Green Park,Sunrisers Hyderabad,Saturday,7,4,31.0,0.0,617,40810,431,925,40932,1,1,156530,19935,23,0,39652,38794,39400,55833,1,0,Night
53,13-05-2017,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,Saturday,6,6,,,530,36866,371,795,40435,0,1,130077,15309,39,1,30547,36499,38218,51913,5,1,Day
54,14-05-2017,Kings XI Punjab,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunday,7,7,29.0,1.0,373,52580,261,559,50669,1,1,85920,14234,79,1,47109,57391,57747,71378,8,0,Night
55,14-05-2017,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,Sunday,6,5,27.0,1.0,504,51936,352,756,51904,0,1,69457,6560,43,0,47472,50887,51979,58110,5,0,Night
56,16-05-2017,Rising Pune Supergiant,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiant,Tuesday,7,6,,,843,32824,590,1264,32710,1,0,128953,1846,69,1,29287,35054,33541,49756,9,1,Day
57,17-05-2017,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,Wednesday,4,6,32.0,1.0,854,53199,597,1281,45646,0,0,102995,11954,68,1,44168,49885,49474,69668,6,0,Night
58,19-05-2017,Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Friday,6,6,20.0,0.0,398,47891,278,597,41156,1,0,59692,14703,70,1,43328,49542,47641,53069,8,1,Day
59,21-05-2017,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunday,6,7,26.0,2.0,455,23559,318,682,24314,0,1,87065,16385,55,1,23271,25806,26097,30803,8,1,Night
60,18-04-2008,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Friday,6,6,34.0,1.0,926,20871,648,1389,19846,1,0,149299,14746,85,1,17067,19209,20051,29957,3,0,Day
61,19-04-2008,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Saturday,7,7,27.0,0.0,336,53857,235,504,48744,1,1,61534,7469,98,1,44165,48560,49345,59591,7,1,Night
62,19-04-2008,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Saturday,2,5,20.0,0.0,363,35765,254,544,34119,1,1,90397,10333,53,1,31784,35289,33795,46997,7,1,Night
63,20-04-2008,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Sunday,6,6,,,701,43649,490,1051,38755,1,1,141387,17608,55,1,45195,40092,39509,49447,6,1,Night
64,20-04-2008,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Sunday,1,6,,,594,22815,415,891,23917,0,1,51016,13819,25,0,22065,23948,24069,35416,7,1,Day
65,21-04-2008,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Monday,7,2,23.0,0.0,229,20896,160,343,19585,1,0,105591,5208,58,0,20262,22628,22408,34875,2,0,Day
66,22-04-2008,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Tuesday,1,5,24.0,0.0,442,24591,309,663,25007,0,0,73247,7283,61,1,21897,24266,25075,32386,9,1,Day
67,23-04-2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Wednesday,7,6,25.0,0.0,719,38181,503,1078,39977,1,0,74300,3048,77,1,36211,36338,37481,55677,1,1,Night
68,24-04-2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Thursday,1,2,25.0,2.0,455,36114,318,682,36403,0,0,132798,7233,31,0,28982,35640,36038,45702,1,1,Day
69,25-04-2008,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Friday,7,6,28.0,1.0,989,37974,692,1483,36544,0,0,59268,13941,22,0,36417,39671,39168,50271,3,0,Day
70,26-04-2008,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,Saturday,6,2,30.0,2.0,350,36048,244,525,31888,1,1,136807,13607,37,0,37068,32508,31712,44132,3,1,Day
71,26-04-2008,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Saturday,6,7,20.0,1.0,309,27142,216,463,27978,0,1,62185,10765,59,1,25870,27627,26538,46087,1,0,Day
72,27-04-2008,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,Sunday,6,1,28.0,2.0,456,41458,319,684,42409,1,1,189643,2828,40,0,42221,42397,41781,57568,7,1,Day
73,27-04-2008,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunday,5,7,24.0,0.0,393,37161,275,589,32271,1,1,88044,2917,34,1,36454,38184,37852,42892,4,1,Day
74,28-04-2008,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,Monday,7,6,22.0,2.0,922,38125,645,1383,40993,0,0,101214,7988,45,1,31649,36157,36792,44254,2,1,Day
75,29-04-2008,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,Tuesday,6,6,,,226,26593,158,339,22633,1,0,164752,19410,27,0,27274,27731,28169,43231,5,0,Day
76,30-04-2008,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,Wednesday,5,6,28.0,0.0,517,41426,361,775,37343,1,0,98984,15594,61,1,33828,38040,36404,48031,6,0,Day
77,01-05-2008,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Thursday,1,7,29.0,0.0,292,50564,204,438,46964,0,0,90774,13977,63,1,47201,47522,47024,67534,9,0,Day
78,01-05-2008,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,Thursday,2,6,21.0,0.0,231,52471,161,346,53136,1,0,52568,1009,33,1,43841,56432,54636,68408,4,0,Night
79,02-05-2008,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Friday,7,5,31.0,0.0,582,43699,407,873,40538,1,0,170151,17644,97,1,35087,45785,44213,60061,2,0,Night
80,25-05-2008,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunday,1,6,21.0,0.0,832,44083,582,1248,41543,1,1,183767,10865,21,0,39917,39795,41097,61964,5,0,Day
81,03-05-2008,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Saturday,7,6,29.0,1.0,672,21885,470,1008,21478,0,1,174375,3219,56,0,19122,20783,19830,29818,3,1,Night
82,04-05-2008,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai Indians,Sunday,6,5,29.0,0.0,227,53632,158,340,48882,0,1,186330,8041,88,1,49421,50568,50159,68039,2,0,Night
83,04-05-2008,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Sunday,7,2,26.0,1.0,215,21801,150,322,21173,0,1,89504,19444,57,1,20586,20801,20110,35317,1,1,Day
84,05-05-2008,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Monday,6,7,26.0,0.0,459,52629,321,688,54517,1,0,63986,6287,60,0,42678,49971,51866,62703,2,0,Day
85,06-05-2008,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Tuesday,7,1,28.0,2.0,563,47289,394,844,51062,0,0,111858,2619,81,1,39285,43151,43397,66326,6,0,Day
86,07-05-2008,Rajasthan Royals,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,Wednesday,2,6,20.0,0.0,541,44486,378,811,45836,0,0,179312,9512,79,0,41801,44120,42934,59528,8,0,Night
87,08-05-2008,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,Thursday,5,7,26.0,0.0,880,53092,616,1320,50366,1,0,62666,2342,33,1,47028,55563,55576,65191,3,1,Day
88,08-05-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,Thursday,6,6,,,311,35068,217,466,32396,1,0,88660,11568,21,1,34447,35816,36645,41558,9,0,Night
89,09-05-2008,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Friday,1,2,20.0,1.0,513,41722,359,769,40369,1,0,184633,19378,89,0,40181,43164,45141,47615,9,0,Day
90,28-05-2008,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Wednesday,6,6,20.0,0.0,804,39614,562,1206,37017,0,0,76854,15231,36,0,40065,36295,35280,46004,2,1,Night
91,10-05-2008,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Saturday,7,7,32.0,2.0,348,21145,243,522,18522,0,1,114505,4490,47,0,20576,23054,23944,29534,8,1,Night
92,11-05-2008,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunday,6,1,21.0,0.0,480,48828,336,720,48769,0,1,154488,10310,85,0,44310,52133,54397,58067,5,1,Day
93,11-05-2008,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Sunday,5,2,30.0,0.0,372,42972,260,558,41185,1,1,72662,8984,54,1,41607,45594,47492,52451,4,1,Day
94,12-05-2008,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Monday,6,7,32.0,2.0,520,51493,364,780,50391,0,0,58392,18988,24,0,44739,54819,55561,58756,5,0,Night
95,13-05-2008,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Tuesday,6,5,,,471,54609,329,706,54945,0,0,80535,13219,84,1,47869,59334,60104,63041,4,1,Night
96,14-05-2008,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Wednesday,7,6,,,807,51021,564,1210,48253,1,0,163569,1235,59,0,50880,51472,50973,58392,8,0,Day
97,28-05-2008,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Wednesday,7,2,27.0,0.0,306,50231,214,459,48538,1,0,102256,11161,95,0,45790,47219,48410,66509,4,0,Day
98,15-05-2008,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Delhi Daredevils,Thursday,5,1,27.0,1.0,721,28106,504,1081,28978,0,0,139135,2908,75,1,28094,28762,28852,37418,6,1,Night
99,16-05-2008,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Friday,6,6,,,930,34574,651,1395,30444,1,0,177478,9567,55,0,34767,36253,36896,41089,2,0,Day
100,17-05-2008,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,Saturday,5,7,33.0,0.0,640,41874,448,960,39821,1,1,85222,4530,64,0,42476,43866,43552,53200,5,1,Night
101,17-05-2008,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,Saturday,2,6,28.0,1.0,760,45925,532,1140,43555,1,1,127373,6256,42,0,47264,46122,47189,65530,6,0,Day
102,18-05-2008,Mumbai Indians,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunday,6,1,21.0,1.0,890,32245,623,1335,30252,0,1,173684,9162,66,0,29270,29461,30416,44333,5,1,Day
103,18-05-2008,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,Sunday,6,7,,,437,51833,305,655,47217,1,1,60965,19944,50,1,45598,50496,48710,62419,2,1,Day
104,19-05-2008,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,Monday,6,5,24.0,1.0,959,50237,671,1438,53440,0,0,74538,6415,30,1,47501,54464,56277,58154,7,1,Night
105,20-05-2008,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,Tuesday,6,2,,,716,37845,501,1074,34086,1,0,158066,4391,29,0,33787,38484,38639,48576,4,1,Day
106,21-05-2008,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,Wednesday,7,6,,,752,27835,526,1128,25581,0,0,163252,12157,86,0,26450,28048,29014,40521,8,1,Night
107,21-05-2008,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Wednesday,6,7,23.0,0.0,903,48847,632,1354,42148,1,0,189182,6951,33,0,47694,46588,46267,68649,7,1,Day
108,23-05-2008,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Friday,1,7,25.0,0.0,706,30437,494,1059,30264,0,0,148806,9007,99,1,29587,29636,29277,45981,7,0,Night
109,24-05-2008,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Saturday,6,5,25.0,0.0,336,43521,235,504,40775,0,1,187982,10064,93,1,38892,46962,48911,49688,9,0,Night
110,24-05-2008,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Saturday,2,7,34.0,0.0,500,25317,350,750,21688,0,1,160989,16524,29,1,21309,26159,25508,38619,1,0,Day
111,03-05-2008,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Saturday,6,1,30.0,0.0,525,25666,367,787,22635,0,1,140982,1077,95,1,23295,27141,28075,35775,6,1,Night
112,25-05-2008,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Sunday,7,6,,,961,49127,672,1441,51696,1,1,171626,8577,20,0,41052,48678,48600,58454,6,0,Night
113,26-05-2008,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Monday,6,2,30.0,0.0,412,52455,288,618,46369,1,0,169176,17984,24,0,53636,53821,53896,63265,6,1,Night
114,27-05-2008,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Tuesday,1,7,20.0,1.0,846,22096,592,1269,22358,0,0,181278,15060,39,0,19587,20984,20582,30751,6,0,Night
115,30-05-2008,Rajasthan Royals,Delhi Daredevils,Wankhede Stadium,Rajasthan Royals,Friday,2,5,,,253,31319,177,379,26981,0,0,172409,18449,27,1,26264,32605,32843,40112,7,0,Day
116,31-05-2008,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,Saturday,7,7,,,755,31380,528,1132,34500,1,1,73419,19520,62,0,25303,30925,30384,46327,6,1,Day
