match_id,date,home_team,away_team,tournament_phase,day_of_week,time_slot,city,broadcaster,past_viewership_avg_millions,viewership_tv_millions,viewership_digital_millions,total_viewership_millions,marquee_match,rivalry_match,weather_rain,ad_inventory_price_lakhs
IPL2018-00038,10-04-2018,Delhi Capitals,Lucknow Super Giants,League,Tuesday,Late,Kolkata,JioCinema,5.5,5.75,5.01,10.76,0,0,0,53.79
IPL2018-00039,07-04-2018,Gujarat Titans,Lucknow Super Giants,League,Saturday,Afternoon,Bengaluru,DD Sports,3.06,3.6,3.58,7.18,0,0,0,33.39
IPL2018-00040,12-04-2018,Sunrisers Hyderabad,Kolkata Knight Riders,League,Thursday,Afternoon,Lucknow,JioCinema,3.48,3.92,3.44,7.36,0,0,0,31.99
IPL2018-00041,07-05-2018,Punjab Kings,Chennai Super Kings,League,Monday,Afternoon,Hyderabad,JioCinema,3.49,3.98,2.01,5.99,0,0,0,27.75
IPL2018-00042,26-05-2018,Mumbai Indians,Rajasthan Royals,League,Saturday,Afternoon,Hyderabad,Star Sports,3.25,2.56,3.81,6.37,0,0,0,24.65
IPL2018-00043,25-04-2018,Royal Challengers Bangalore,Mumbai Indians,League,Wednesday,Afternoon,Mumbai,Star Sports,2.67,2.2,2.42,4.62,0,0,0,19
IPL2018-00044,04-04-2018,Royal Challengers Bangalore,Kolkata Knight Riders,League,Wednesday,Late,Chennai,DD Sports,4.41,3.89,4.63,8.52,0,0,0,38.29
IPL2018-00045,15-04-2018,Mumbai Indians,Delhi Capitals,League,Sunday,Prime,Lucknow,Star Sports,8.65,8.56,8.68,17.24,0,0,0,111.62
IPL2018-00046,03-06-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Qualifier,Sunday,Afternoon,Jaipur,Star Sports,4.04,3.67,4.34,8.01,0,0,0,36.83
IPL2018-00047,18-04-2018,Chennai Super Kings,Punjab Kings,League,Wednesday,Prime,Chennai,JioCinema,8.65,7.62,9.07,16.69,0,0,0,113.33
IPL2018-00048,10-04-2018,Royal Challengers Bangalore,Gujarat Titans,League,Tuesday,Late,Ahmedabad,Star Sports,4.68,5.64,5.83,11.47,0,0,0,50.62
IPL2018-00049,11-04-2018,Delhi Capitals,Gujarat Titans,League,Wednesday,Prime,Kolkata,JioCinema,9.84,9.4,9.41,18.81,0,0,0,143.98
IPL2018-00050,25-04-2018,Kolkata Knight Riders,Delhi Capitals,League,Wednesday,Prime,Lucknow,Star Sports,9.39,8.65,10.34,18.99,0,0,0,145.77
IPL2018-00051,01-04-2018,Kolkata Knight Riders,Lucknow Super Giants,Semi-Final,Sunday,Prime,Jaipur,JioCinema,13.35,13.38,12.23,25.61,0,0,0,252.81
IPL2018-00052,06-04-2018,Royal Challengers Bangalore,Mumbai Indians,League,Friday,Late,Hyderabad,DD Sports,5.01,4.8,5.17,9.97,0,0,0,43.69
IPL2018-00053,11-05-2018,Royal Challengers Bangalore,Punjab Kings,League,Friday,Prime,Mumbai,DD Sports,9.58,8.998471436,10.52671523,19.53,0,0,1,155.92
IPL2018-00054,24-04-2018,Lucknow Super Giants,Punjab Kings,League,Tuesday,Afternoon,Chennai,Star Sports,3.96,2.73,3.08,5.81,0,0,0,23.09
IPL2018-00055,18-04-2018,Delhi Capitals,Mumbai Indians,Semi-Final,Wednesday,Late,Jaipur,JioCinema,8.21,6.47,9.31,15.78,0,0,0,75.53
IPL2018-00056,12-05-2018,Delhi Capitals,Chennai Super Kings,League,Saturday,Afternoon,Lucknow,Star Sports,1.77,2.17,1.85,4.02,0,0,0,17.31
IPL2018-00057,03-04-2018,Chennai Super Kings,Royal Challengers Bangalore,League,Tuesday,Late,Ahmedabad,JioCinema,8.23,7.18,9.22,16.4,1,0,0,78.49
IPL2018-00058,09-04-2018,Punjab Kings,Mumbai Indians,League,Monday,Afternoon,Ahmedabad,DD Sports,2.79,3.38,2.85,6.23,0,0,0,28.49
IPL2018-00059,23-04-2018,Chennai Super Kings,Rajasthan Royals,Qualifier,Monday,Prime,Jaipur,Star Sports,10.15,10.56,11.34,21.9,0,0,0,199.96
IPL2018-00060,22-04-2018,Kolkata Knight Riders,Delhi Capitals,League,Sunday,Late,Jaipur,Star Sports,5.23,4.66,5.84,10.5,0,0,0,46
IPL2018-00061,25-03-2018,Lucknow Super Giants,Royal Challengers Bangalore,League,Sunday,Afternoon,Kolkata,JioCinema,4.09,3.16,4.33,7.49,0,0,0,29.57
IPL2018-00062,08-04-2018,Delhi Capitals,Royal Challengers Bangalore,Eliminator,Sunday,Afternoon,Delhi,JioCinema,4.82,4.4,3.79,8.19,0,0,0,42.16
IPL2018-00063,13-04-2018,Sunrisers Hyderabad,Delhi Capitals,League,Friday,Afternoon,Bengaluru,JioCinema,1.85,1.99,2.89,4.88,0,0,0,23.35
IPL2018-00064,26-04-2018,Delhi Capitals,Rajasthan Royals,Eliminator,Thursday,Late,Jaipur,Star Sports,7.67,6.56,9.33,15.89,0,0,0,85.3
IPL2018-00065,22-04-2018,Gujarat Titans,Chennai Super Kings,League,Sunday,Prime,Mumbai,JioCinema,8.99,8.45,9.23,17.68,0,0,0,146.04
IPL2018-00066,14-04-2018,Punjab Kings,Mumbai Indians,Semi-Final,Saturday,Prime,Bengaluru,Star Sports,12.96,10.42396137,16.81671389,27.24,0,0,1,219.07
IPL2018-00067,20-03-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Qualifier,Tuesday,Prime,Hyderabad,JioCinema,9.88,9.6,11.41,21.01,0,0,0,176.4
IPL2018-00068,15-04-2018,Mumbai Indians,Sunrisers Hyderabad,League,Sunday,Afternoon,Mumbai,JioCinema,3.6,3.39,2.98,6.37,0,0,0,29.71
IPL2018-00069,17-04-2018,Kolkata Knight Riders,Sunrisers Hyderabad,Semi-Final,Tuesday,Late,Jaipur,JioCinema,8.35,6.271075702,10.09433241,16.37,0,0,1,93.63
IPL2018-00070,15-07-2018,Royal Challengers Bangalore,Punjab Kings,League,Sunday,Prime,Ahmedabad,Star Sports,9.17,7.88,11.39,19.27,0,0,0,157.41
IPL2018-00071,12-04-2018,Royal Challengers Bangalore,Rajasthan Royals,League,Thursday,Afternoon,Lucknow,DD Sports,3.81,3.08,3.93,7.01,0,0,0,28.97
IPL2018-00072,23-04-2018,Lucknow Super Giants,Gujarat Titans,Eliminator,Monday,Afternoon,Lucknow,DD Sports,3.25,3.47,2.01,5.48,0,0,0,30.98
IPL2018-00073,18-05-2018,Gujarat Titans,Chennai Super Kings,League,Friday,Afternoon,Chennai,JioCinema,2.39,2.6,1.65,4.25,0,0,0,19.32
IPL2018-00074,06-05-2018,Kolkata Knight Riders,Punjab Kings,Semi-Final,Sunday,Late,Lucknow,JioCinema,8.41,6.96,9.2,16.16,0,0,0,87.33
IPL2018-00075,28-05-2018,Delhi Capitals,Lucknow Super Giants,League,Monday,Late,Delhi,Star Sports,5.31,4.4,6.37,10.77,0,0,0,50.36
IPL2018-00076,25-03-2018,Kolkata Knight Riders,Gujarat Titans,League,Sunday,Afternoon,Mumbai,DD Sports,2.58,2.28,1.84,4.12,0,0,0,19.39
IPL2018-00077,30-03-2018,Lucknow Super Giants,Royal Challengers Bangalore,League,Friday,Afternoon,Ahmedabad,Star Sports,4.03,3.581388977,2.237455123,5.82,0,0,1,26.83
IPL2018-00078,05-04-2018,Rajasthan Royals,Delhi Capitals,Qualifier,Thursday,Afternoon,Jaipur,Star Sports,2.44,2.19,2.94,5.13,0,0,0,26.16
IPL2018-00079,23-03-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,League,Friday,Late,Delhi,JioCinema,6.95,5.34,6.71,12.05,0,0,0,57.21
IPL2018-00080,18-04-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Eliminator,Wednesday,Afternoon,Chandigarh,DD Sports,3.47,2.88,4.48,7.36,0,0,0,32.67
IPL2018-00081,31-03-2018,Sunrisers Hyderabad,Punjab Kings,League,Saturday,Afternoon,Jaipur,DD Sports,3.89,3.67,2.9,6.57,0,0,0,33.57
IPL2018-00082,03-06-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,League,Sunday,Late,Delhi,DD Sports,5.22,5.62,5.27,10.89,0,0,0,41.94
IPL2018-00083,02-04-2018,Sunrisers Hyderabad,Mumbai Indians,League,Monday,Late,Delhi,Star Sports,5.42,4.1,6.78,10.88,0,0,0,49.18
IPL2018-00084,09-04-2018,Gujarat Titans,Lucknow Super Giants,Qualifier,Monday,Late,Delhi,JioCinema,5.73,5.27,7.31,12.58,0,0,0,64.88
IPL2018-00085,07-05-2018,Kolkata Knight Riders,Punjab Kings,League,Monday,Afternoon,Kolkata,JioCinema,3.17,3.56,3.12,6.68,0,0,0,27.88
IPL2018-00086,27-03-2018,Royal Challengers Bangalore,Delhi Capitals,League,Tuesday,Late,Kolkata,JioCinema,5.67,6.04,6.46,12.5,0,0,0,55.65
IPL2018-00087,23-03-2018,Lucknow Super Giants,Royal Challengers Bangalore,League,Friday,Late,Hyderabad,Star Sports,5.12,4.73,6.37,11.1,0,0,0,53.23
IPL2018-00088,20-04-2018,Sunrisers Hyderabad,Chennai Super Kings,Semi-Final,Friday,Afternoon,Jaipur,JioCinema,3.75,4.45,2.01,6.46,0,0,0,35.08
IPL2018-00089,22-04-2018,Mumbai Indians,Royal Challengers Bangalore,Eliminator,Sunday,Afternoon,Delhi,JioCinema,4.11,3.090979099,4.549473642,7.64,0,1,1,42.94
IPL2018-00090,06-05-2018,Mumbai Indians,Lucknow Super Giants,League,Sunday,Late,Hyderabad,DD Sports,4.57,5.28,4.72,10,0,0,0,40.45
IPL2018-00091,29-04-2018,Chennai Super Kings,Kolkata Knight Riders,League,Sunday,Late,Ahmedabad,DD Sports,5.72,5.29,6.14,11.43,0,0,0,44.76
IPL2018-00092,23-04-2018,Delhi Capitals,Punjab Kings,League,Monday,Prime,Bengaluru,JioCinema,8.8,8.87,8.89,17.76,0,0,0,121.78
IPL2018-00093,03-04-2018,Punjab Kings,Chennai Super Kings,League,Tuesday,Afternoon,Jaipur,DD Sports,2.5,3.56,1.73,5.29,0,0,0,23.29
IPL2018-00094,21-04-2018,Rajasthan Royals,Kolkata Knight Riders,League,Saturday,Late,Kolkata,Star Sports,6.03,5.84,7.12,12.96,0,0,0,53.89
IPL2018-00095,23-04-2018,Mumbai Indians,Gujarat Titans,League,Monday,Late,Delhi,DD Sports,5.59,6.46,4.31,10.77,0,0,0,55.48
IPL2018-00096,03-04-2018,Kolkata Knight Riders,Chennai Super Kings,League,Tuesday,Afternoon,Bengaluru,DD Sports,2.56,3.47,1.79,5.26,0,0,0,23.77
IPL2018-00097,16-06-2018,Lucknow Super Giants,Gujarat Titans,Eliminator,Saturday,Late,Kolkata,Star Sports,6.51,6.75,6.76,13.51,0,0,0,74.05
IPL2018-00098,28-04-2018,Sunrisers Hyderabad,Punjab Kings,League,Saturday,Prime,Lucknow,DD Sports,7.91,7.71,8.84,16.55,0,0,0,128.22
IPL2018-00099,30-03-2018,Lucknow Super Giants,Sunrisers Hyderabad,League,Friday,Late,Bengaluru,JioCinema,5.43,4.47,6.11,10.58,0,0,0,48.94
IPL2018-00100,07-05-2018,Gujarat Titans,Rajasthan Royals,Final,Monday,Prime,Delhi,DD Sports,33.34,30.71,35.61,66.32,1,0,0,629.29
IPL2018-00101,12-05-2018,Mumbai Indians,Royal Challengers Bangalore,League,Saturday,Prime,Jaipur,JioCinema,10.16,10.06,9.7,19.76,0,1,0,165.56
IPL2018-00102,26-04-2018,Punjab Kings,Rajasthan Royals,League,Thursday,Late,Lucknow,DD Sports,5.47,5.86,5.68,11.54,0,0,0,52.27
IPL2018-00103,11-04-2018,Delhi Capitals,Mumbai Indians,League,Wednesday,Afternoon,Kolkata,JioCinema,2.85,3.73,1.71,5.44,0,0,0,23.81
IPL2018-00104,02-04-2018,Sunrisers Hyderabad,Royal Challengers Bangalore,League,Monday,Late,Lucknow,Star Sports,6.46,5.72,6.85,12.57,0,0,0,49.08
IPL2018-00105,14-04-2018,Royal Challengers Bangalore,Rajasthan Royals,League,Saturday,Afternoon,Delhi,Star Sports,3.04,3.06,3.45,6.51,0,0,0,30.29
IPL2018-00106,24-04-2018,Delhi Capitals,Gujarat Titans,League,Tuesday,Afternoon,Hyderabad,Star Sports,2.6,2.67,2.97,5.64,0,0,0,24.14
IPL2018-00107,16-04-2018,Chennai Super Kings,Mumbai Indians,Final,Monday,Late,Chennai,DD Sports,18.82,17.35,20.5,37.85,1,1,0,201.8
IPL2018-00108,30-05-2018,Rajasthan Royals,Royal Challengers Bangalore,League,Wednesday,Afternoon,Bengaluru,Star Sports,4.4,3.99,3.9,7.89,0,0,0,36.67
IPL2018-00109,02-05-2018,Rajasthan Royals,Delhi Capitals,League,Wednesday,Afternoon,Lucknow,JioCinema,2.86,3.42,2.96,6.38,0,0,0,27.42
IPL2018-00110,01-04-2018,Lucknow Super Giants,Rajasthan Royals,League,Sunday,Prime,Lucknow,JioCinema,9.67,8.81,11.14,19.95,0,0,0,139.57
IPL2018-00111,29-03-2018,Gujarat Titans,Punjab Kings,Eliminator,Thursday,Late,Kolkata,Star Sports,7.88,7.04,8.37,15.41,0,0,0,70.45
IPL2018-00112,28-04-2018,Royal Challengers Bangalore,Rajasthan Royals,League,Saturday,Late,Jaipur,Star Sports,5.68,5.59,6.67,12.26,0,0,0,57.13
IPL2018-00113,11-04-2018,Sunrisers Hyderabad,Mumbai Indians,League,Wednesday,Late,Chennai,Star Sports,5.96,4.92,5.27,10.19,0,0,0,47.42
IPL2018-00114,04-05-2018,Chennai Super Kings,Royal Challengers Bangalore,League,Friday,Prime,Ahmedabad,Star Sports,13.98,13.84,14.34,28.18,1,0,0,197.6
IPL2018-00115,28-04-2018,Lucknow Super Giants,Chennai Super Kings,League,Saturday,Prime,Mumbai,Star Sports,8.17,7.62,8.92,16.54,0,0,0,129.87
IPL2018-00116,14-04-2018,Gujarat Titans,Kolkata Knight Riders,Semi-Final,Saturday,Prime,Hyderabad,Star Sports,11.93,11.46,13.81,25.27,0,0,0,205.79
IPL2018-00117,01-04-2018,Royal Challengers Bangalore,Mumbai Indians,League,Sunday,Late,Jaipur,DD Sports,6.17,4.81,6.36,11.17,0,0,0,53.9
IPL2018-00118,24-03-2018,Delhi Capitals,Royal Challengers Bangalore,League,Saturday,Late,Chandigarh,DD Sports,6.43,5.71,5.98,11.69,0,0,0,51.41
IPL2018-00119,21-04-2018,Delhi Capitals,Rajasthan Royals,League,Saturday,Prime,Bengaluru,Star Sports,8.73,8.3,10.24,18.54,0,0,0,123.12
IPL2018-00120,27-03-2018,Chennai Super Kings,Rajasthan Royals,League,Tuesday,Afternoon,Kolkata,JioCinema,2.4,3.65,1.21,4.86,0,0,0,21.1
IPL2018-00121,31-03-2018,Punjab Kings,Mumbai Indians,League,Saturday,Afternoon,Delhi,JioCinema,3.22,2.74,3.04,5.78,0,0,0,28.83
IPL2018-00122,20-04-2018,Sunrisers Hyderabad,Delhi Capitals,League,Friday,Late,Bengaluru,JioCinema,5.88,5.02,7.39,12.41,0,0,0,51.05
IPL2018-00123,17-04-2018,Punjab Kings,Lucknow Super Giants,League,Tuesday,Prime,Chennai,Star Sports,8.11,8.65,7.9,16.55,0,0,0,138.61
IPL2018-00124,28-03-2018,Sunrisers Hyderabad,Lucknow Super Giants,League,Wednesday,Prime,Kolkata,DD Sports,9.13,7.91,9.7,17.61,0,0,0,132.5
IPL2018-00125,16-05-2018,Mumbai Indians,Lucknow Super Giants,Eliminator,Wednesday,Late,Lucknow,DD Sports,7.06,5.38,8.79,14.17,0,0,0,71.38
IPL2018-00126,15-05-2018,Kolkata Knight Riders,Gujarat Titans,League,Tuesday,Late,Hyderabad,JioCinema,5.35,5.17,6.17,11.34,0,0,0,50.54
IPL2018-00127,29-04-2018,Mumbai Indians,Delhi Capitals,League,Sunday,Prime,Ahmedabad,JioCinema,8.67,8.06,9.88,17.94,0,0,0,125.96
IPL2018-00128,29-04-2018,Lucknow Super Giants,Delhi Capitals,Semi-Final,Sunday,Afternoon,Lucknow,DD Sports,3.91,2.951496013,2.753617937,5.71,0,0,1,34.35
IPL2018-00129,29-04-2018,Gujarat Titans,Kolkata Knight Riders,League,Sunday,Afternoon,Chandigarh,DD Sports,2.51,2.52,2.02,4.54,0,0,0,19.5
IPL2018-00130,12-05-2018,Gujarat Titans,Punjab Kings,League,Saturday,Prime,Lucknow,Star Sports,8.44,8.84,7.58,16.42,0,0,0,122.44
IPL2018-00131,03-05-2018,Kolkata Knight Riders,Rajasthan Royals,League,Thursday,Prime,Ahmedabad,DD Sports,8.33,7.76,9.45,17.21,0,0,0,140.67
IPL2018-00132,02-04-2018,Mumbai Indians,Rajasthan Royals,League,Monday,Afternoon,Jaipur,DD Sports,2.67,3.06,2.59,5.65,0,0,0,27.01
IPL2018-00133,11-04-2018,Gujarat Titans,Delhi Capitals,League,Wednesday,Late,Jaipur,DD Sports,6.04,5.58,6.8,12.38,0,0,0,53.87
IPL2018-00134,08-07-2018,Lucknow Super Giants,Delhi Capitals,League,Sunday,Prime,Hyderabad,Star Sports,8.13,8.12,8.85,16.97,0,0,0,109.04
IPL2018-00135,21-03-2018,Mumbai Indians,Chennai Super Kings,League,Wednesday,Afternoon,Delhi,Star Sports,3.27,2.933860093,2.913689982,5.85,1,0,1,27.65
IPL2018-00136,07-04-2018,Rajasthan Royals,Mumbai Indians,League,Saturday,Afternoon,Ahmedabad,DD Sports,2.64,2.66,2.1,4.76,0,0,0,21.05
IPL2018-00137,16-05-2018,Mumbai Indians,Rajasthan Royals,League,Wednesday,Late,Chennai,JioCinema,6.06,5.68,7.14,12.82,0,0,0,57.54
IPL2018-00138,03-04-2018,Punjab Kings,Delhi Capitals,League,Tuesday,Prime,Lucknow,Star Sports,8.53,7.67,8.29,15.96,0,0,0,118.39
IPL2018-00139,03-05-2018,Punjab Kings,Delhi Capitals,League,Thursday,Late,Kolkata,JioCinema,5.26,4.43,6.89,11.32,0,0,0,49.18
IPL2018-00140,17-04-2018,Chennai Super Kings,Gujarat Titans,Final,Tuesday,Afternoon,Chennai,Star Sports,9.6,10.13,8.39,18.52,1,0,0,102.07
IPL2018-00141,04-04-2018,Rajasthan Royals,Lucknow Super Giants,League,Wednesday,Late,Bengaluru,DD Sports,5.23,5.4,4.84,10.24,0,0,0,51.56
IPL2018-00142,20-03-2018,Sunrisers Hyderabad,Rajasthan Royals,Qualifier,Tuesday,Late,Jaipur,DD Sports,6.66,6.17,6.88,13.05,0,0,0,70.34
IPL2018-00143,20-04-2018,Royal Challengers Bangalore,Delhi Capitals,League,Friday,Late,Kolkata,JioCinema,6.09,5.71,7.68,13.39,0,0,0,56.16
IPL2018-00144,01-04-2018,Gujarat Titans,Sunrisers Hyderabad,League,Sunday,Afternoon,Bengaluru,DD Sports,2.61,3.08,2.85,5.93,0,0,0,26.99
IPL2018-00145,14-04-2018,Rajasthan Royals,Sunrisers Hyderabad,League,Saturday,Afternoon,Mumbai,Star Sports,3.14,2.67638067,4.047701845,6.72,0,0,1,24.84
IPL2018-00146,28-04-2018,Royal Challengers Bangalore,Chennai Super Kings,League,Saturday,Late,Kolkata,JioCinema,9.38,7.73,9.1,16.83,1,0,0,72.7
IPL2018-00147,09-05-2018,Sunrisers Hyderabad,Kolkata Knight Riders,League,Wednesday,Afternoon,Lucknow,Star Sports,3.46,3.5,3.37,6.87,0,0,0,31.59
IPL2018-00148,07-04-2018,Punjab Kings,Delhi Capitals,Semi-Final,Saturday,Afternoon,Lucknow,Star Sports,4.03,4.63,3.99,8.62,0,0,0,48.69
IPL2018-00149,04-04-2018,Royal Challengers Bangalore,Lucknow Super Giants,Qualifier,Wednesday,Afternoon,Mumbai,DD Sports,3.68,3.170183984,4.702627554,7.87,0,0,1,40.87
IPL2018-00150,26-03-2018,Kolkata Knight Riders,Chennai Super Kings,League,Monday,Afternoon,Chennai,DD Sports,3.29,2.54,2.66,5.2,0,0,0,23.25
IPL2018-00151,11-05-2018,Lucknow Super Giants,Mumbai Indians,League,Friday,Prime,Chandigarh,JioCinema,8.29,8.4,8.94,17.34,0,0,0,129.54
IPL2018-00152,28-06-2018,Delhi Capitals,Gujarat Titans,League,Thursday,Prime,Chandigarh,Star Sports,9.55,9.16,10.12,19.28,0,0,0,158.42
IPL2018-00153,15-05-2018,Rajasthan Royals,Lucknow Super Giants,Eliminator,Tuesday,Prime,Hyderabad,JioCinema,11.57,11.04,11.12,22.16,0,0,0,168.98
IPL2018-00154,23-05-2018,Sunrisers Hyderabad,Mumbai Indians,League,Wednesday,Afternoon,Delhi,DD Sports,2.47,3.55,1.67,5.22,0,0,0,27.4
IPL2018-00155,03-04-2018,Chennai Super Kings,Kolkata Knight Riders,Semi-Final,Tuesday,Afternoon,Mumbai,JioCinema,3.61,3.84,4.76,8.6,0,0,0,41.4
IPL2018-00156,27-04-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Eliminator,Friday,Afternoon,Kolkata,JioCinema,4.94,2.37,5.7,8.07,0,0,0,42.68
IPL2018-00157,06-05-2018,Kolkata Knight Riders,Rajasthan Royals,League,Sunday,Afternoon,Jaipur,JioCinema,3.48,3.29,3.3,6.59,0,0,0,25.61
